id,Name,Dates,Nationality,Previouswork
1,Eugene Meyer,1946–1946,United States,Newspaper publisher and Chairman of the Federal Reserve
2,John J. McCloy,1947–1949,United States,Lawyer and US Assistant Secretary of War
3,"Eugene R. Black, Sr.",1949–1963,United States,Bank executive with Chase and executive director with the World Bank
4,George Woods,1963–1968,United States,Bank executive with First Boston Corporation
5,Robert McNamara,1968–1981,United States,"President of the Ford Motor Company, US Defense Secretary under presidents John F. Kennedy and Lyndon B. Johnson"
6,Alden W. Clausen,1981–1986,United States,"Lawyer, bank executive with Bank of America"
7,Barber Conable,1986–1991,United States,New York State Senator and US Congressman
8,Lewis T. Preston,1991–1995,United States,Bank executive with J.P. Morgan
9,James Wolfensohn,1995–2005,United States and  Australia,Wolfensohn was a naturalised American citizen before taking office. Corporate lawyer and banker
10,Paul Wolfowitz,2005–2007,United States,"US Ambassador to Indonesia, US Deputy Secretary of Defense, Dean of the School of Advanced International Studies (SAIS) at Johns Hopkins University, a prominent architect of 2003 invasion of Iraq, resigned World Bank post due to ethics scandal[35]"
11,Robert Zoellick,2007–2012,United States,Deputy Secretary of State and US Trade Representative
12,Jim Yong Kim,2012–2019,United States,"Former Chair of the Department of Global Health and Social Medicine at Harvard, president of Dartmouth College, naturalized American citizen[36]"
13,Kristalina Georgieva (acting),2019,Bulgaria,"Former European Commissioner for the Budget and Human Resources and 2010's ""European of the Year"""
14,David Malpass,2019–2023,United States,Under Secretary of the Treasury for International Affairs
15,Ajay Banga,2023–present,United States,Former head of Mastercard[6]
16,Eugene Meyer,1946–1946,United States,Newspaper publisher and Chairman of the Federal Reserve
17,John J. McCloy,1947–1949,United States,Lawyer and US Assistant Secretary of War
18,"Eugene R. Black, Sr.",1949–1963,United States,Bank executive with Chase and executive director with the World Bank
19,George Woods,1963–1968,United States,Bank executive with First Boston Corporation
20,Robert McNamara,1968–1981,United States,"President of the Ford Motor Company, US Defense Secretary under presidents John F. Kennedy and Lyndon B. Johnson"
21,Alden W. Clausen,1981–1986,United States,"Lawyer, bank executive with Bank of America"
22,Barber Conable,1986–1991,United States,New York State Senator and US Congressman
23,Lewis T. Preston,1991–1995,United States,Bank executive with J.P. Morgan
24,James Wolfensohn,1995–2005,United States and  Australia,Wolfensohn was a naturalised American citizen before taking office. Corporate lawyer and banker
25,Paul Wolfowitz,2005–2007,United States,"US Ambassador to Indonesia, US Deputy Secretary of Defense, Dean of the School of Advanced International Studies (SAIS) at Johns Hopkins University, a prominent architect of 2003 invasion of Iraq, resigned World Bank post due to ethics scandal[35]"
26,Robert Zoellick,2007–2012,United States,Deputy Secretary of State and US Trade Representative
27,Jim Yong Kim,2012–2019,United States,"Former Chair of the Department of Global Health and Social Medicine at Harvard, president of Dartmouth College, naturalized American citizen[36]"
28,Kristalina Georgieva (acting),2019,Bulgaria,"Former European Commissioner for the Budget and Human Resources and 2010's ""European of the Year"""
29,David Malpass,2019–2023,United States,Under Secretary of the Treasury for International Affairs
30,Ajay Banga,2023–present,United States,Former head of Mastercard[6]
31,Eugene Meyer,1946–1946,United States,Newspaper publisher and Chairman of the Federal Reserve
32,John J. McCloy,1947–1949,United States,Lawyer and US Assistant Secretary of War
33,"Eugene R. Black, Sr.",1949–1963,United States,Bank executive with Chase and executive director with the World Bank
34,George Woods,1963–1968,United States,Bank executive with First Boston Corporation
35,Robert McNamara,1968–1981,United States,"President of the Ford Motor Company, US Defense Secretary under presidents John F. Kennedy and Lyndon B. Johnson"
36,Alden W. Clausen,1981–1986,United States,"Lawyer, bank executive with Bank of America"
37,Barber Conable,1986–1991,United States,New York State Senator and US Congressman
38,Lewis T. Preston,1991–1995,United States,Bank executive with J.P. Morgan
39,James Wolfensohn,1995–2005,United States and  Australia,Wolfensohn was a naturalised American citizen before taking office. Corporate lawyer and banker
40,Paul Wolfowitz,2005–2007,United States,"US Ambassador to Indonesia, US Deputy Secretary of Defense, Dean of the School of Advanced International Studies (SAIS) at Johns Hopkins University, a prominent architect of 2003 invasion of Iraq, resigned World Bank post due to ethics scandal[35]"
41,Robert Zoellick,2007–2012,United States,Deputy Secretary of State and US Trade Representative
42,Jim Yong Kim,2012–2019,United States,"Former Chair of the Department of Global Health and Social Medicine at Harvard, president of Dartmouth College, naturalized American citizen[36]"
43,Kristalina Georgieva (acting),2019,Bulgaria,"Former European Commissioner for the Budget and Human Resources and 2010's ""European of the Year"""
44,David Malpass,2019–2023,United States,Under Secretary of the Treasury for International Affairs
45,Ajay Banga,2023–present,United States,Former head of Mastercard[6]
